番号,氏名,役職,着任日,離任日,出生日,着任日年齢,性別,主な前職
1,速水優,総裁,19980320,20030319,19250324,73,0,日本銀行
2,藤原作弥,副総裁,19980320,20030319,19370114,61,0,報道機関
3,山口泰,副総裁,19980408,20030319,19401112,57,0,日本銀行
4,後藤康夫,審議委員,19951011,19991010,19330630,62,0,中央省庁
5,篠塚英子,審議委員,19980401,20010331,19420501,56,1,大学
6,武富将,審議委員,19970617,20010616,19400101,57,0,民間金融機関
7,三木利夫,審議委員,19980401,20020331,19320201,66,0,産業界
8,中原伸之,審議委員,19980401,20020331,19341211,63,0,産業界
9,植田和男,審議委員,19980408,20050407,19510920,47,0,大学
10,田谷禎三,審議委員,19991203,20041202,19450305,55,0,シンクタンク
11,須田美矢子,審議委員,20010401,20110331,19480515,53,1,大学
12,中原眞,審議委員,20010617,20060616,19371018,64,0,民間金融機関
13,福間年勝,審議委員,20020405,20070404,19370423,65,0,産業界
14,春英彦,審議委員,20020405,20070404,19371104,64,0,産業界
15,福井俊彦,総裁,20030320,20080319,19350907,68,0,日本銀行
16,武藤敏郎,副総裁,20030320,20080319,19430702,60,0,中央省庁
17,岩田一政,副総裁,20030320,20080319,19461017,56,0,中央省庁
18,水野温氏,審議委員,20041203,20091202,19590818,45,0,民間金融機関
19,西村清彦,審議委員,20050408,20080319,19530330,52,0,大学
20,野田忠男,審議委員,20060617,20110616,19470131,59,0,民間金融機関
21,亀崎英敏,審議委員,20070405,20120404,19430401,64,0,産業界
22,中村清次,審議委員,20070405,20120404,19420428,65,0,産業界
23,白川方明,副総裁,20080320,20080408,19490927,58,0,日本銀行
24,西村清彦,副総裁,20080320,20130319,19530330,55,0,大学
25,白川方明,総裁,20080409,20130319,19490927,59,0,日本銀行
26,山口廣秀,副総裁,20081027,20130319,19510306,58,0,日本銀行
27,宮尾龍蔵,審議委員,20100326,20150325,19640703,46,0,大学
28,森本宜久,審議委員,20100701,20150630,19440625,66,0,産業界
29,白井さゆり,審議委員,20110401,20160331,19630102,48,1,大学
30,石田浩二,審議委員,20110630,20160629,19470622,64,0,民間金融機関
31,佐藤健裕,審議委員,20120724,20170723,19610802,51,0,民間金融機関
32,木内登英,審議委員,20120724,20170723,19631129,49,0,シンクタンク
33,黒田東彦,総裁,20130320,20230408,19441025,68,0,中央省庁
34,中曽宏,副総裁,20130320,20180319,19531012,59,0,日本銀行
35,岩田規久男,副総裁,20130320,20180319,19421003,70,0,大学
36,原田泰,審議委員,20150326,20200325,19500901,65,0,中央省庁
37,布野幸利,審議委員,20150701,20200630,19470201,68,0,産業界
38,櫻井眞,審議委員,20160401,20210331,19460616,70,0,シンクタンク
39,政井貴子,審議委員,20160630,20210629,19650308,51,1,民間金融機関
40,片岡剛士,審議委員,20170724,20220723,19721130,45,0,シンクタンク
41,鈴木人司,審議委員,20170724,20220723,19540108,64,0,民間金融機関
42,雨宮正佳,副総裁,20180320,20230319,19550930,62,0,日本銀行
43,若田部昌澄,副総裁,20180320,20230319,19650226,53,0,大学
44,安達誠司,審議委員,20200326,20250325,19650704,55,0,民間金融機関
45,中村豊明,審議委員,20200701,20250630,19520803,68,0,産業界
46,野口旭,審議委員,20210401,20260331,19580317,63,0,大学
47,中川順子,審議委員,20210630,20260629,19650726,56,1,民間金融機関
48,高田創,審議委員,20220724,20270723,19580802,64,0,民間金融機関
49,田村直樹,審議委員,20220724,20270723,19610709,61,0,民間金融機関
50,内田眞一,副総裁,20230320,20280319,19620822,61,0,日本銀行
51,氷見野良三,副総裁,20230320,20280319,19600425,63,0,中央省庁
52,植田和男,総裁,20230409,20280408,19510920,72,0,大学
53,小枝淳子,審議委員,20250326,20300325,19760213,49,1,大学
54,増一行,審議委員,20250701,20300630,19590219,66,0,産業界
